Продукт,Старая цена,Новая цена,Процент скидки,Время акции
"Вино ТОРРЕ ТАЛЛАДА, красное полусладкое, 0,75л",499.99,329.99,-34%,С 2023-11-15 по 2023-12-12
"Вино ЛЮСЬЕН РИГИ, красное сухое (Франция), 0,75л",699.99,549.99,-21%,С 2023-11-15 по 2023-12-12
"Вино ТОРРЕ ТАЛЛАДА, белое полусладкое, 0,75л",499.99,339.99,-32%,С 2023-11-15 по 2023-12-12
"Вино ШЕВАЛЬЕ ЛАКАССАН белое полусладкое (Франция), 0,75л",599.99,439.99,-27%,С 2023-11-15 по 2023-12-12
"Вино ТОРРЕ ТАЛЛАДА, красное сухое, 0,75л",499.99,329.99,-34%,С 2023-11-15 по 2023-12-12
"Вино ШЕВАЛЬЕ ЛАКАССАН красное полусладкое (Франция), 0,75л",599.99,439.99,-27%,С 2023-11-15 по 2023-12-12
"Вино ХАРЕБА Саперави Гвираби красное сухое (Грузия), 0,75л",499.99,379.99,-24%,С 2023-11-15 по 2023-12-12
"Вино МАР ЛИНДО белое сухое (Португалия), 0,75л",699.99,499.99,-29%,С 2023-11-15 по 2023-12-12
"Вино АЛАЗАНСКАЯ ДОЛИНА Болеро красное полусладкое (Грузия), 0,75л",449.99,299.99,-33%,С 2023-11-15 по 2023-12-12
"Вино РИСЛИНГ , белое сухое (Сербия), 1л",449.99,299.99,-33%,С 2023-11-15 по 2023-12-12
